OrderDetailID,OrderID,ProductName,ProductType,Quantity
1,1,"Dụng cụ mở nắp chai lộ, đồ hộp siêu nhaanh 4in1, chất liệu cao su.DC mở nắp chai tiện dụng, đa năng",Khui Nắp 4in1,2
2,2,"Cối Đá Tự Nhiên Nguyên Khối Dùng Giã Hành Tỏi, Giã Cua, Quết Chả Tiện Lợi 10cm, 12cm, 14cm, 16cm BK Store",Cối  14cm(có chày),1
3,3,Set 6 cây bàn chải đánh răng PS lông tơ mềm vừa phải bảo vệ và vệ sinh răng miệng,,1
4,4,Kính lão đọc sách cho người lớn tuổi Braby Glasses viễn thị gọng kim loại mảnh chắc chắn chống gẫy có độ sẵn KL08,"VÀNG,2 ĐỘ",1
5,5,Giày Sneaker Vải Canvas Unisex Chính Hãng DINCOX C20 Black Sang Trọng Tinh Tế Đơn Giản,"Black,42",1
6,6,Balo mini kết hợp túi đeo chéo cá tính HARAS HR225,Xanh,1
7,7,"Cây chuối rẻ quạt, Cao 40cm đến 60cm sức sống cực mãnh liệt, dễ chăm sóc phong thủy tốt cho gia chủ",,1
8,8,1kg cây CỐI XAY khô sạch đẹp loại 1 - cơ sở dược liệu Thảo An,1kg,2
9,9,Dầu Gió Xanh Thiên Thảo 12ml (100% CHÍNH HÃNG có đầy đủ hóa đơn VAT),,4
10,10,Xà Bông Cục CaMay 125g,"Trắng,125g",1
11,10,Nhang Trừ Muỗi JumBo Vape Hương Hoa Lài Hộp 50 Khoanh,,1
12,11,Viên Uống Xổ Giun VERFUCAS Hộp 1 Viên Hỗ Trợ Xổ Các Loại Giun Sán,,2
13,12,Gạt Tàn Thuốc Hình Tròn Bằng Thép Không Gỉ Cao Cấp,Màu đỏ,1
14,13,(HCM) 50 Miếng Dán Ngải Cứu Thải Độc Chân Lão Bắc Kinh,1 HỘP 50 MIẾNG,5
15,14,"Hộp 20 cây Bút Bi Thiên Long TL-08,ngòi 0.8mm mực xanh/đỏ/đen thiết kế tối giản, dễ sử dụng, dạng bấm cò",Màu sắc Xanh,1
